City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Andres,CO,2023-02-26 05:58:40,12.5847,-81.7006,78.82,73,20,11.5
68,Coihaique,CL,2023-02-26 05:59:33,-45.5752,-72.0662,48.15,76,75,3.44
69,Luanda,AO,2023-02-26 05:59:33,-8.8368,13.2343,78.8,89,75,2.3
70,Sisimiut,GL,2023-02-26 05:59:34,66.9395,-53.6735,-4.4,97,100,10.42
71,Clyde River,CA,2023-02-26 05:59:34,70.4692,-68.5914,-27.17,68,100,2.3
72,Mount Pleasant,US,2023-02-26 05:58:04,32.7941,-79.8626,63.0,95,100,3.44
73,Koran,BA,2023-02-26 05:59:35,43.8103,18.5689,33.31,100,75,10.36
74,Marfino,RU,2023-02-26 05:59:36,55.7028,37.3822,34.09,93,75,15.66
75,Vryburg,ZA,2023-02-26 05:59:37,-26.9566,24.7284,76.3,36,9,10.47
76,Bakel,SN,2023-02-26 05:59:37,14.905,-12.4568,75.85,21,11,7.65
77,Novouzensk,RU,2023-02-26 05:59:38,50.4592,48.1431,31.44,93,99,18.43
78,Kapoeta,SS,2023-02-26 05:59:38,4.7717,33.5903,88.5,30,100,22.46
79,Saldanha,ZA,2023-02-26 05:59:39,-33.0117,17.9442,55.45,73,0,11.54
80,Bilimbay,RU,2023-02-26 05:59:39,56.9689,59.8149,24.33,87,100,12.33
81,Hambantota,LK,2023-02-26 05:59:40,6.1241,81.1185,84.54,54,20,13.8
82,Kjopsvik,NO,2023-02-26 06:00:41,68.097,16.3742,36.18,96,100,10.27
83,Casma,CL,2023-02-26 05:59:18,-41.0082,-73.1244,42.4,93,61,1.61
84,Diamantino,BR,2023-02-26 06:00:41,-14.4086,-56.4461,72.28,91,84,3.49
85,Hearst,CA,2023-02-26 06:00:42,49.6835,-83.6665,14.25,98,100,1.99
86,Olafsvik,IS,2023-02-26 06:00:43,64.8945,-23.7142,43.63,90,100,33.53
87,Bay Roberts,CA,2023-02-26 06:00:43,47.5999,-53.2648,7.34,78,83,5.01
88,Salinopolis,BR,2023-02-26 06:00:44,-0.6136,-47.3561,77.0,87,100,5.66
89,Santa Maria,BR,2023-02-26 06:00:44,-29.6842,-53.8069,67.95,55,1,4.23
90,Tromso,NO,2023-02-26 06:00:45,69.6496,18.957,32.02,86,100,23.02
91,Qaanaaq,GL,2023-02-26 06:00:46,77.484,-69.3632,-10.95,98,99,2.26
92,Wukari,NG,2023-02-26 06:00:46,7.85,9.7833,73.76,27,91,0.29
93,Salalah,OM,2023-02-26 06:00:47,17.0151,54.0924,76.01,64,20,5.01
94,Kalmunai,LK,2023-02-26 06:00:47,7.4167,81.8167,81.43,60,73,12.53
95,Longyearbyen,SJ,2023-02-26 06:00:48,78.2186,15.6401,24.64,80,75,21.85
96,Letterkenny,IE,2023-02-26 06:00:49,54.95,-7.7333,31.82,88,4,1.79
97,Harper,LR,2023-02-26 06:00:49,4.375,-7.7169,79.09,87,81,8.52
98,Banyo,CM,2023-02-26 06:00:50,6.75,11.8167,68.23,24,100,2.82
99,Pampas,PE,2023-02-26 06:00:50,-12.4,-74.9,47.86,89,100,5.57
100,Comrat,MD,2023-02-26 06:00:52,46.3003,28.6572,46.36,89,100,5.97
101,Mahebourg,MU,2023-02-26 06:00:53,-20.4081,57.7,83.25,78,40,8.05
102,Kruisfontein,ZA,2023-02-26 06:00:53,-34.0033,24.7314,64.89,66,61,3.09
103,Bathsheba,BB,2023-02-26 06:00:54,13.2167,-59.5167,77.61,73,75,16.11
104,Cayenne,GF,2023-02-26 06:00:54,4.9333,-52.3333,73.44,100,75,2.3
105,Mahenge,TZ,2023-02-26 06:00:55,-8.6833,36.7167,68.95,79,97,3.98
106,Basoko,CD,2023-02-26 06:00:03,1.2391,23.616,79.43,61,95,2.39
107,Arlit,NE,2023-02-26 06:00:56,18.7369,7.3853,70.38,11,2,9.44
108,Saint-Augustin,CA,2023-02-26 06:00:57,51.226,-58.6502,-19.53,95,11,5.44
109,Victoria,HK,2023-02-26 06:00:25,22.2855,114.1577,69.96,44,66,11.01
110,Marawi,PH,2023-02-26 06:00:58,7.9986,124.2928,77.0,77,50,8.99
