City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Tasiilaq,GL,65.6145,-37.6368,21.36,86,100,4.9,overcast clouds
79,Marsh Harbour,BS,26.5412,-77.0636,69.8,58,0,11.52,clear sky
80,Cidreira,BR,-30.1811,-50.2056,75.18,89,0,6.08,clear sky
81,Kruisfontein,ZA,-34.0033,24.7314,57.88,91,0,4.25,clear sky
82,Ponta Do Sol,PT,32.6667,-17.1,67.71,83,40,4.5,scattered clouds
83,Chuy,UY,-33.6971,-53.4616,67.24,92,1,7.05,clear sky
84,Mercedes,AR,-34.6515,-59.4307,78.78,57,61,13.4,broken clouds
85,Walvis Bay,NA,-22.9575,14.5053,59.09,86,0,7.83,clear sky
86,Necochea,AR,-38.5473,-58.7368,63.84,89,100,22.19,moderate rain
87,Wick,GB,58.4333,-3.0833,23.05,80,99,8.05,overcast clouds
88,Solwezi,ZM,-12.1688,26.3894,59.88,95,98,2.91,overcast clouds
89,Sikasso,ML,10.9167,-7.0,78.13,10,76,3.89,broken clouds
90,Namibe,AO,-15.1961,12.1522,70.75,77,92,4.12,overcast clouds
91,Nanortalik,GL,60.1432,-45.2371,26.92,73,95,13.2,overcast clouds
92,Clyde River,CA,70.4692,-68.5914,-3.77,84,0,3.44,clear sky
93,Merrill,US,45.1805,-89.6835,27.55,97,100,8.05,light snow
94,Cancun,MX,21.1743,-86.8466,75.13,78,0,5.75,clear sky
95,Richards Bay,ZA,-28.783,32.0377,73.81,93,61,3.98,broken clouds
96,Samsun,TR,41.25,36.3333,54.0,84,75,3.44,light rain
97,Maniitsoq,GL,65.4167,-52.9,16.77,73,73,11.86,broken clouds
98,Elat,IL,29.5581,34.9482,55.24,67,0,5.75,clear sky
99,Husavik,IS,66.0449,-17.3389,15.76,75,100,21.56,light snow
100,Tortoli,IT,39.9256,9.6572,60.62,72,20,10.36,few clouds
101,Bandarbeyla,SO,9.4942,50.8122,78.35,77,19,9.19,few clouds
102,Shinpokh,PK,34.3292,71.1782,63.81,24,13,1.72,few clouds
103,Vigrestad,NO,58.5667,5.7,22.59,45,100,5.46,overcast clouds
104,Huarmey,PE,-10.0681,-78.1522,75.79,75,100,2.62,overcast clouds
105,Bredasdorp,ZA,-34.5322,20.0403,59.32,80,19,1.7,few clouds
106,Oksfjord,NO,70.2396,22.3479,14.18,82,100,4.54,light snow
107,Ilulissat,GL,69.2167,-51.1,15.82,48,27,5.75,scattered clouds
108,Najran,SA,17.4924,44.1277,65.05,59,18,8.34,few clouds
109,Piet Retief,ZA,-27.0071,30.8132,62.49,93,95,1.83,overcast clouds
110,Mabaruma,GY,8.2,-59.7833,72.01,93,96,2.95,overcast clouds
111,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.03,79,100,5.39,overcast clouds
112,Madras,IN,13.0878,80.2785,84.18,79,40,5.75,mist
113,Mar Del Plata,AR,-38.0023,-57.5575,72.09,91,100,8.05,light rain
114,Narsaq,GL,60.9167,-46.05,37.62,69,100,10.25,overcast clouds
115,Samana,DO,19.2056,-69.3369,73.99,64,99,11.03,overcast clouds
116,Vesele,UA,47.0148,34.915,45.9,86,100,8.81,overcast clouds
117,Ostroleka,PL,53.0862,21.5757,30.92,93,100,14.09,light snow
118,Gwadar,PK,25.1216,62.3254,76.28,55,56,0.63,broken clouds
119,San Miguel,SV,13.4833,-88.1833,74.25,86,100,1.01,overcast clouds
120,Saint George,US,37.1041,-113.5841,54.95,33,0,5.01,clear sky
121,Saint-Pierre,RE,-21.3393,55.4781,76.57,94,75,8.05,heavy intensity rain
122,Santa Rita Do Sapucai,BR,-22.2522,-45.7033,68.07,96,100,0.54,overcast clouds
123,Loutra,GR,39.0569,26.545,56.28,88,40,9.22,scattered clouds
124,Terre Haute,US,39.4667,-87.4139,43.07,93,100,5.75,mist
125,Kalmunai,LK,7.4167,81.8167,81.52,74,100,6.24,overcast clouds
126,Katra,IN,32.9833,74.95,59.86,24,3,5.3,clear sky
127,Caxito,AO,-8.5785,13.6643,72.3,96,85,2.62,overcast clouds
128,Iqaluit,CA,63.7506,-68.5145,1.13,85,0,20.71,clear sky
129,Kabarnet,KE,0.4919,35.743,54.97,81,88,2.75,overcast clouds
130,Novobelokatay,RU,55.7062,58.9549,36.45,97,100,15.84,overcast clouds
131,Adrar,MR,20.5022,-10.0711,69.69,16,0,10.89,clear sky
132,Salalah,OM,17.0151,54.0924,73.49,68,20,4.61,few clouds
133,Dapaong,TG,10.8639,0.205,84.2,44,71,6.35,broken clouds
134,Klaksvik,FO,62.2266,-6.589,27.52,83,100,31.0,snow
135,Umm Kaddadah,SD,13.6017,26.6876,68.7,13,89,16.69,overcast clouds
136,Saint-Paul,RE,-21.0096,55.2707,77.09,93,37,1.99,moderate rain
137,Lubango,AO,-14.9172,13.4925,62.46,82,0,8.05,light rain
138,Santa Luzia,BR,-19.7697,-43.8514,74.3,68,0,5.75,clear sky
139,Busselton,AU,-33.65,115.3333,77.4,50,9,7.09,clear sky
140,Belmonte,BR,-15.8631,-38.8828,76.93,85,100,6.82,overcast clouds
141,Muisne,EC,0.6,-80.0333,73.4,88,100,2.73,overcast clouds
142,Ariquemes,BR,-9.9133,-63.0408,73.47,98,100,0.74,overcast clouds
143,Grootfontein,NA,-19.5667,18.1167,65.77,72,16,3.44,few clouds
144,Tiznit,MA,29.5833,-9.5,62.13,61,0,2.82,clear sky
145,Tessalit,ML,20.1986,1.0114,77.25,13,0,8.99,clear sky
146,Banda Aceh,ID,5.5577,95.3222,85.78,60,61,4.72,broken clouds
147,Kondinskoye,RU,59.6481,67.41,33.06,98,100,13.44,overcast clouds
148,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,62,20,9.22,few clouds
149,Constantine,DZ,36.365,6.6147,49.41,87,20,1.14,few clouds
150,Acari,PE,-15.4311,-74.6158,76.35,75,100,2.44,overcast clouds
151,Saquarema,BR,-22.92,-42.5103,77.14,90,66,8.14,broken clouds
152,Ulcinj,ME,41.9294,19.2244,55.62,94,100,8.32,overcast clouds
153,Abha,SA,18.2164,42.5053,55.22,82,20,6.91,few clouds
154,Antofagasta,CL,-23.65,-70.4,69.08,84,30,4.99,scattered clouds
155,Bilma,NE,18.6853,12.9164,73.78,14,74,13.91,broken clouds
156,Lagoa,PT,39.05,-27.9833,61.79,94,100,33.78,moderate rain
157,Padang,ID,-0.9492,100.3543,82.45,71,38,4.52,scattered clouds
158,Colares,PT,38.7992,-9.4469,60.1,96,66,5.01,broken clouds
159,Starkville,US,33.4504,-88.8184,57.67,92,96,3.96,overcast clouds
160,Aktau,KZ,43.65,51.2,48.78,91,85,7.14,overcast clouds
161,Hauterive,FR,46.0901,3.4459,54.36,77,95,16.89,overcast clouds
162,Bengkulu,ID,-3.8004,102.2655,82.96,70,82,5.48,broken clouds
163,Mbaiki,CF,3.8678,17.9892,69.96,94,95,2.86,overcast clouds
164,Minab,IR,27.1467,57.0801,76.86,45,100,4.5,overcast clouds
165,Senanga,ZM,-16.1167,23.2667,67.15,88,77,3.11,broken clouds
166,Camacha,PT,33.0833,-16.3333,62.02,94,75,4.61,broken clouds
167,Vestmanna,FO,62.1564,-7.1664,25.72,93,100,23.02,snow
168,Abu Dhabi,AE,24.4667,54.3667,79.95,49,0,17.27,clear sky
169,Bathsheba,BB,13.2167,-59.5167,75.81,88,20,2.3,few clouds
170,Oyem,GA,1.5995,11.5793,69.53,98,100,0.96,light rain
171,Tikrit,IQ,34.6071,43.6782,57.42,53,5,8.08,clear sky
172,Cap Malheureux,MU,-19.9842,57.6142,75.47,89,100,1.99,light rain
