City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
228,228,Paonta Sahib,IN,30.45,77.6167,77.65,24,0,1.39,clear sky,Hotel Silver Oak
230,230,Quatre Cocos,MU,-20.2078,57.7625,76.08,85,100,11.77,light rain,Horisun
233,233,Grand Gaube,MU,-20.0064,57.6608,76.37,89,100,1.01,light rain,Coco Villa
235,235,Reconquista,AR,-29.15,-59.65,77.38,56,0,6.13,clear sky,Hotel San Martin
239,239,Atar,MR,20.5169,-13.0499,72.5,19,0,8.86,clear sky,فندق سكليل
249,249,Touros,BR,-5.1989,-35.4608,78.33,80,90,10.63,overcast clouds,Pousada Atlântico
254,254,Morondava,MG,-20.2833,44.2833,76.46,90,100,12.12,moderate rain,Hotel Sharon Menabe
255,255,Cayenne,GF,4.9333,-52.3333,75.24,88,0,0.0,clear sky,Central Hôtel
262,262,Barranca,PE,-10.75,-77.7667,74.46,75,100,4.21,overcast clouds,Emperador
274,274,Yenagoa,NG,4.9247,6.2642,77.14,92,34,3.29,scattered clouds,Peretimi Hotels Ltd.
276,276,Port Charlotte,US,26.9762,-82.0906,71.02,82,33,11.99,scattered clouds,Microtel Inn & Suites by Wyndham Port Charlotte
280,280,Cockburn Town,TC,21.4612,-71.1419,73.81,61,27,17.0,scattered clouds,The Salt Raker Inn
292,292,Marawi,PH,7.9986,124.2928,76.17,75,51,7.67,broken clouds,Marawi Resort Hotel
296,296,Dhuburi,IN,26.0333,89.9667,84.6,21,49,2.62,scattered clouds,The Town Hotel
297,297,Piacabucu,BR,-10.4056,-36.4344,76.87,75,64,5.7,broken clouds,O Leão
301,301,Hambantota,LK,6.1241,81.1185,80.94,89,20,8.05,moderate rain,Oasis Aurweda Resort Hambathota
302,302,The Valley,AI,18.217,-63.0578,76.86,73,24,15.23,few clouds,CeBlue
305,305,Coro,VE,11.4045,-69.6734,75.36,88,99,8.46,overcast clouds,Urumaco Suite
328,328,Puerto Colombia,CO,10.9878,-74.9547,77.09,83,72,18.79,broken clouds,Hotel Puerto Colombia
329,329,General Pico,AR,-35.6566,-63.7568,72.64,45,76,17.76,broken clouds,Euskadi Hotel
330,330,Dori,BF,14.0354,-0.0345,81.95,34,2,5.39,clear sky,Kuin Deni Dori
332,332,Dunmore Town,BS,25.5,-76.65,71.1,60,0,13.2,clear sky,The Landing Hotel & Restaurant
334,334,Paita,PE,-5.0892,-81.1144,77.09,83,100,14.29,light rain,Victor's
349,349,Dahanu,IN,19.9667,72.7333,84.38,28,0,9.69,clear sky,Crazy Crab
350,350,Camopi,GF,3.1655,-52.3158,70.21,98,100,2.01,overcast clouds,Chez Lucia
351,351,Caravelas,BR,-17.7125,-39.2481,76.17,85,99,5.12,overcast clouds,Pousada dos Navegantes
355,355,Odienne,CI,9.51,-7.5692,73.2,14,69,1.72,broken clouds,Hotel Frontière
362,362,Angoche,MZ,-16.2325,39.9086,75.16,92,94,7.43,light rain,Hotel Quirimbas
366,366,Praia,CV,14.9215,-23.5087,77.54,29,0,11.5,clear sky,Casa Sodadi
371,371,Veraval,IN,20.9,70.3667,84.65,28,0,11.16,clear sky,Shyam
383,383,Lima,PE,-12.0432,-77.0282,77.9,72,40,11.5,scattered clouds,Hotel Peach Garden
385,385,Eyl,SO,7.9803,49.8164,78.69,72,39,10.76,scattered clouds,فندق ايل دابي
390,390,Rio De Janeiro,BR,-22.9028,-43.2075,80.56,83,0,6.91,clear sky,Ibis Rio porto atlantico
393,393,Matara,LK,5.9485,80.5353,81.0,71,100,9.51,overcast clouds,Villa Palm Breeze
399,399,Hualmay,PE,-11.0964,-77.6139,74.7,77,98,6.24,overcast clouds,Hotel Mi Choacan
400,400,Moroto,UG,2.5345,34.6666,71.33,54,99,3.56,overcast clouds,Shalosa Hotel
428,428,Sur,OM,22.5667,59.5289,75.69,49,89,9.46,overcast clouds,Sur Hotel
430,430,Inhambane,MZ,-23.865,35.3833,76.17,93,12,9.06,few clouds,Hotel de Inhambane
435,435,Salinopolis,BR,-0.6136,-47.3561,76.64,89,100,6.76,overcast clouds,Hotel Salinópolis
450,450,Itarema,BR,-2.9248,-39.9167,75.94,92,100,12.71,overcast clouds,Pousada Oásis
459,459,Pontes E Lacerda,BR,-15.2261,-59.3353,72.05,97,99,0.85,overcast clouds,Hotel Avenida
460,460,Bouake,CI,7.6895,-5.0218,75.69,83,13,6.42,few clouds,Hôtel Arc-En-Ciel
473,473,Mogadishu,SO,2.0371,45.3438,78.94,86,96,13.04,overcast clouds,Villa Rays Restaurant & Hotel
482,482,Maceio,BR,-9.6658,-35.7353,74.64,94,40,4.61,scattered clouds,Maceió Hostel e Pousada
489,489,Ilhabela,BR,-23.7781,-45.3581,78.28,77,100,3.24,overcast clouds,Vila Kebaya
491,491,Pisco,PE,-13.7,-76.2167,73.45,88,0,8.05,clear sky,La Portada
494,494,Parati,BR,-23.2178,-44.7131,75.52,81,100,4.05,overcast clouds,Solar dos Gerânios
503,503,Nizwa,OM,22.9333,57.5333,71.96,27,55,3.29,broken clouds,Nizwa Heritage Inn
510,510,Tabuk,PH,17.4189,121.4443,76.73,70,45,7.92,scattered clouds,Davidson Hotel
518,518,Omboue,GA,-1.5746,9.2618,76.28,92,98,5.64,overcast clouds,Hôtel Georges Faustin Aurat
